Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
59	354	683	1015	354	804	1194	628	1152	2420	628	1152	2420	451	1454	2660	406	1309	3192	37	49	68	37	49	68	3253	11286	16929	3253	11286	16929
60	360	694	1029	360	816	1211	639	1170	2458	639	1170	2458	464	1493	2756	418	1344	3307	37	49	68	37	49	68	3357	11964	17946	3357	11964	17946
61	366	704	1045	366	828	1229	650	1188	2496	650	1188	2496	478	1532	2852	430	1379	3422	38	51	70	38	51	70	3461	12680	19020	3461	12680	19020
62	372	714	1059	372	840	1246	661	1206	2534	661	1206	2534	491	1569	2948	442	1412	3537	38	51	70	38	51	70	3565	13442	20163	3565	13442	20163
63	378	724	1074	378	852	1264	672	1224	2572	672	1224	2572	504	1608	3043	454	1447	3652	39	52	72	39	52	72	3669	14249	21374	3669	14249	21374
64	384	734	1090	384	864	1282	683	1242	2610	683	1242	2610	518	1644	3139	466	1480	3767	39	52	72	39	52	72	3773	15104	22656	3773	15104	22656
65	390	745	1104	390	876	1299	694	1260	2648	694	1260	2648	530	1683	3236	477	1515	3882	40	53	74	40	53	74	3877	16010	24015	3877	16010	24015
66	396	755	1119	396	888	1317	705	1278	2686	705	1278	2686	543	1721	3331	489	1549	3997	41	55	76	41	55	76	3981	16916	25374	3981	16916	25374
67	402	765	1134	402	900	1334	716	1296	2724	716	1296	2724	557	1759	3427	501	1583	4112	41	55	76	41	55	76	4085	17822	26733	4085	17822	26733
68	408	775	1149	408	912	1352	727	1314	2762	727	1314	2762	570	1797	3522	513	1617	4227	42	56	78	42	56	78	4189	18728	28092	4189	18728	28092
69	414	785	1165	414	924	1370	738	1332	2800	738	1332	2800	583	1834	3619	525	1651	4342	43	57	80	43	57	80	4293	19634	29451	4293	19634	29451
70	420	796	1179	420	936	1387	749	1350	2838	749	1350	2838	599	1872	3714	539	1685	4457	43	57	80	43	57	80	4397	20540	30810	4397	20540	30810
71	426	806	1194	426	948	1405	760	1368	2876	760	1368	2876	613	1911	3810	552	1720	4572	44	59	81	44	59	81	4501	21446	32169	4501	21446	32169
72	432	816	1209	432	960	1422	771	1386	2914	771	1386	2914	628	1948	3906	565	1753	4687	44	59	81	44	59	81	4605	22352	33528	4605	22352	33528
73	438	826	1224	438	972	1440	782	1404	2952	782	1404	2952	643	1987	4002	579	1788	4802	45	60	83	45	60	83	4709	23258	34887	4709	23258	34887
74	444	836	1239	444	984	1458	793	1422	2990	793	1422	2990	658	2023	4098	592	1821	4917	46	61	85	46	61	85	4813	24164	36246	4813	24164	36246
75	450	847	1254	450	996	1475	804	1440	3028	804	1440	3028	672	2062	4193	605	1856	5032	46	61	85	46	61	85	4917	25070	37605	4917	25070	37605
76	456	857	1269	456	1008	1493	815	1458	3066	815	1458	3066	687	2101	4289	618	1891	5147	47	63	87	47	63	87	5021	25976	38964	5021	25976	38964
77	462	867	1284	462	1020	1510	826	1476	3104	826	1476	3104	702	2138	4386	632	1924	5262	47	63	87	47	63	87	5125	26882	40323	5125	26882	40323
78	468	877	1299	468	1032	1528	837	1494	3142	837	1494	3142	717	2177	4481	645	1959	5377	48	64	89	48	64	89	5229	27788	41682	5229	27788	41682
79	474	887	1314	474	1044	1546	848	1512	3180	848	1512	3180	731	2213	4577	658	1992	5492	49	65	91	49	65	91	5333	28694	43041	5333	28694	43041
80	480	898	1329	480	1056	1563	859	1530	3218	859	1530	3218	748	2252	4672	673	2027	5607	49	65	91	49	65	91	5437	29600	44400	5437	29600	44400
81	486	908	1344	486	1068	1581	870	1548	3256	870	1548	3256	764	2290	4769	688	2061	5722	50	67	93	50	67	93	5541	30506	45759	5541	30506	45759
82	492	918	1358	492	1080	1598	881	1566	3294	881	1566	3294	780	2328	4864	702	2095	5837	50	67	93	50	67	93	5645	31412	47118	5645	31412	47118
83	498	928	1374	498	1092	1616	892	1584	3332	892	1584	3332	797	2366	4960	717	2129	5952	51	68	94	51	68	94	5749	32318	48477	5749	32318	48477
84	504	938	1389	504	1104	1634	903	1602	3370	903	1602	3370	813	2403	5056	732	2163	6067	51	68	94	51	68	94	5853	33224	49836	5853	33224	49836
85	510	949	1403	510	1116	1651	914	1620	3408	914	1620	3408	829	2441	5152	746	2197	6182	52	69	96	52	69	96	5957	34130	51195	5957	34130	51195
86	516	959	1419	516	1128	1669	925	1638	3446	925	1638	3446	846	2480	5248	761	2232	6297	53	70	98	53	70	98	6061	35036	52554	6061	35036	52554
87	522	969	1433	522	1140	1686	936	1656	3484	936	1656	3484	861	2517	5343	775	2265	6412	53	70	98	53	70	98	6165	35942	53913	6165	35942	53913
88	528	979	1448	528	1152	1704	947	1674	3522	947	1674	3522	878	2556	5439	790	2300	6527	54	72	100	54	72	100	6269	36848	55272	6269	36848	55272
89	534	989	1464	534	1164	1722	958	1692	3560	958	1692	3560	894	2592	5536	805	2333	6642	55	73	102	55	73	102	6373	37754	56631	6373	37754	56631
90	540	1000	1478	540	1176	1739	969	1710	3598	969	1710	3598	912	2631	5631	821	2368	6757	55	73	102	55	73	102	6477	38660	57990	6477	38660	57990
91	546	1010	1493	546	1188	1757	980	1728	3636	980	1728	3636	930	2670	5727	837	2403	6872	56	74	104	56	74	104	6581	39566	59349	6581	39566	59349
92	552	1020	1508	552	1200	1774	991	1746	3674	991	1746	3674	948	2707	5822	853	2436	6987	56	74	104	56	74	104	6685	40472	60708	6685	40472	60708
93	558	1030	1523	558	1212	1792	1002	1764	3712	1002	1764	3712	964	2746	5919	868	2471	7102	57	76	105	57	76	105	6789	41378	62067	6789	41378	62067
94	564	1040	1539	564	1224	1810	1013	1782	3750	1013	1782	3750	982	2782	6014	884	2504	7217	58	77	107	58	77	107	6893	42284	63426	6893	42284	63426
95	570	1051	1553	570	1236	1827	1024	1800	3788	1024	1800	3788	1000	2821	6110	900	2539	7332	58	77	107	58	77	107	6997	43190	64785	6997	43190	64785
96	576	1061	1568	576	1248	1845	1035	1818	3826	1035	1818	3826	1018	2859	6206	916	2573	7447	59	78	109	59	78	109	7101	44096	66144	7101	44096	66144
97	582	1071	1583	582	1260	1862	1046	1836	3864	1046	1836	3864	1036	2897	6302	932	2607	7562	59	78	109	59	78	109	7205	45002	67503	7205	45002	67503
98	588	1081	1598	588	1272	1880	1057	1854	3902	1057	1854	3902	1053	2934	6398	948	2641	7677	60	80	111	60	80	111	7309	45908	68862	7309	45908	68862
99	594	1091	1613	594	1284	1898	1068	1872	3940	1068	1872	3940	1071	2972	6493	964	2675	7792	60	80	111	60	80	111	7413	46814	70221	7413	46814	70221
100	600	1102	1628	600	1296	1915	1079	1890	3978	1079	1890	3978	1091	3010	6589	982	2709	7907	61	81	113	61	81	113	7517	47720	71580	7517	47720	71580
101	606	1112	1643	606	1308	1933	1090	1908	4016	1090	1908	4016	1110	3049	6686	999	2744	8022	62	82	115	62	82	115	7621	48626	72939	7621	48626	72939
102	612	1122	1658	612	1320	1950	1101	1926	4054	1101	1926	4054	1129	3086	6781	1016	2777	8137	62	82	115	62	82	115	7725	49532	74298	7725	49532	74298
103	618	1132	1673	618	1332	1968	1112	1944	4092	1112	1944	4092	1148	3124	6877	1033	2812	8252	63	84	117	63	84	117	7829	50438	75657	7829	50438	75657
104	624	1142	1688	624	1344	1986	1123	1962	4130	1123	1962	4130	1168	3161	6972	1051	2845	8367	63	84	117	63	84	117	7933	51344	77016	7933	51344	77016
105	630	1153	1703	630	1356	2003	1134	1980	4168	1134	1980	4168	1187	3200	7069	1068	2880	8482	64	85	118	64	85	118	8037	52250	78375	8037	52250	78375
106	636	1163	1718	636	1368	2021	1145	1998	4206	1145	1998	4206	1206	3239	7164	1085	2915	8597	65	86	120	65	86	120	8141	53156	79734	8141	53156	79734
107	642	1173	1732	642	1380	2038	1156	2016	4244	1156	2016	4244	1226	3276	7260	1103	2948	8712	65	86	120	65	86	120	8245	54062	81093	8245	54062	81093
108	648	1183	1748	648	1392	2056	1167	2034	4282	1167	2034	4282	1244	3314	7356	1120	2983	8827	66	88	122	66	88	122	8349	54968	82452	8349	54968	82452
109	654	1193	1763	654	1404	2074	1178	2052	4320	1178	2052	4320	1263	3351	7452	1137	3016	8942	67	89	124	67	89	124	8453	55874	83811	8453	55874	83811
110	2100	2100	2100	2100	2100	2100	6532	6532	6532	6532	6532	6532	11111	11111	11111	10000	10000	10000	130	130	130	130	130	130	160000	160000	160000	160000	160000	160000
